Provincia;Distrito;Partido;Formula;votos
CABA;Comuna13;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;600
CABA;Comuna13;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;224
CABA;Comuna13;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;103
CABA;Comuna14;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;77291
CABA;Comuna14;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;6981
CABA;Comuna14;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;6157
CABA;Comuna14;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;24461
CABA;Comuna14;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;11270
CABA;Comuna14;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;1688
CABA;Comuna14;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;10963
CABA;Comuna14;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;2876
CABA;Comuna14;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;2544
CABA;Comuna14;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1092
CABA;Comuna14;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;617
CABA;Comuna14;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;573
CABA;Comuna14;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;551
CABA;Comuna14;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;211
CABA;Comuna14;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;84
CABA;Comuna15;ALIANZA CAMBIEMOS;MACRI, MAURICIO - MICHETTI, MARTA GABRIELA;42395
CABA;Comuna15;ALIANZA CAMBIEMOS;CARRIO, ELISA MARIA AVELINA - FLORES, HECTOR ANTONIO;4454
CABA;Comuna15;ALIANZA CAMBIEMOS;SANZ, ERNESTO RICARDO - LLACH, LUCAS;4052
CABA;Comuna15;ALIANZA FRENTE PARA LA VICTORIA;SCIOLI, DANIEL OSVALDO - ZANNINI, CARLOS ALBERTO;29859
CABA;Comuna15;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);MASSA, SERGIO TOMAS - RUBERTO SAENZ, GUSTAVO ADOLFO;14178
CABA;Comuna15;ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA);DE LA SOTA, JOSE MANUEL - RUCCI, CLAUDIA MONICA;1891
CABA;Comuna15;ALIANZA PROGRESISTAS;STOLBIZER, MARGARITA ROSA - OLAVIAGA, MIGUEL ANGEL;9579
CABA;Comuna15;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;ALTAMIRA, JORGE - GIORDANO, JUAN CARLOS;3642
CABA;Comuna15;ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES;DEL CA¥O, NICOLAS - BREGMAN, MYRIAM TERESA;3113
CABA;Comuna15;ALIANZA COMPROMISO FEDERAL;RODRIGUEZ SAA, ADOLFO - NEGRE DE ALONSO, LILIANA TERESITA;1370
CABA;Comuna15;ALIANZA FRENTE POPULAR;DE GENNARO, VICTOR NORBERTO - CODONI, EVANGELINA SOLEDAD;873
CABA;Comuna15;MOVIMIENTO AL SOCIALISMO;CASTA¥EIRA, MANUELA JIMENA - AYALA, JORGE LUIS;719
CABA;Comuna15;MST - NUEVA IZQUIERDA;BODART, HUGO ALEJANDRO - RIPOLL, VILMA ANA;798
CABA;Comuna15;PARTIDO POPULAR;YATTAH, MAURICIO JORGE - MORETTA, MARIA BELEN;252
CABA;Comuna15;MOVIMIENTO DE ACCION VECINAL;ALBARRACIN, RAUL HUMBERTO - DIB, GASTON;116
